City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Luanda,AO,72.43,clear sky,-8.8368,13.2343,EPIC SANA Luanda
382,Paita,PE,71.1,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
387,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
388,Bibiani,GH,77.27,broken clouds,6.4635,-2.3194,Rodick Hotel
389,Naze,JP,74.48,overcast clouds,28.3667,129.4833,Shishime Hotel
390,Mana,GF,81.18,broken clouds,5.6592,-53.7767,LE SAMANA
394,Monroe,US,77.58,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
398,Suffolk,US,77.34,few clouds,40.8668,-72.7996,Greenwood Village
399,Huilong,CN,73.92,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
401,Bria,CF,75.81,few clouds,6.5423,21.9863,WFP Guesthouse
402,Agadir,MA,72.05,few clouds,30.4202,-9.5982,Iberostar Founty Beach
404,Hovd,MN,66.76,few clouds,48.0056,91.6419,Hotel Khovd
406,Kupang,ID,76.32,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
407,Vao,NC,73.89,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
412,Cao Bang,VN,76.14,overcast clouds,22.6667,106.25,khách sạn 88
417,Hamilton,US,82.6,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
419,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
420,Marawi,PH,68.79,overcast clouds,7.9986,124.2928,Derogongan Residence
423,Mahibadhoo,MV,83.01,moderate rain,3.7833,72.9667,Omadhoo Inn
425,Seydi,TM,76.91,clear sky,39.4816,62.9137,Seydi oteli
428,Cabarroguis,PH,76.1,light rain,16.5833,121.5,Travelodge Drive-Inn Hotel
430,Santona,ES,70.7,clear sky,43.4439,-3.4576,Playamar
438,Siyabuswa,ZA,65.23,clear sky,-25.1132,29.0445,Confy Inn Guest Rooms
441,Boyolangu,ID,75.2,broken clouds,-8.1181,111.8935,Yos ega cv
442,Tabou,CI,81.37,broken clouds,4.423,-7.3528,hotêl doufoulougou
444,Namatanai,PG,78.03,light rain,-3.6667,152.4333,Seagulls Inn Namatani
449,Palu,ID,75.69,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
454,Belmonte,BR,78.78,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
455,Rancho Santa Margarita,US,70.95,broken clouds,33.6409,-117.6031,Ayres Suites Mission Viejo
456,Rabaul,PG,77.13,moderate rain,-4.1967,152.1721,Rabaul Hotel
458,Chizhou,CN,71.78,few clouds,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
462,Ierapetra,GR,78.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
468,Dingle,PH,77.11,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
469,Conde,BR,76.46,light rain,-7.2597,-34.9075,Pousada Beija Flor
476,Guarapari,BR,77.9,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
483,Makaha,US,75.97,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
486,Monte Alegre,BR,82.24,broken clouds,-2.0078,-54.0692,Hotel Shekinah
489,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
494,Freeport,US,78.58,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
499,Mwanza,TZ,65.86,overcast clouds,-2.5167,32.9,Gold Crest Hotel
501,Sorong,ID,78.76,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
503,Bijapur,IN,81.55,few clouds,16.8333,75.7,Rajdhani Lodge
505,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
506,Aflao,TG,82.45,scattered clouds,6.116,1.1914,Hotel LeBenin
511,Isangel,VU,76.41,clear sky,-19.55,169.2667,Tanna Lodge
514,Davila,PH,78.78,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
515,Sal Rei,CV,77.2,few clouds,16.1833,-22.9167,Marine Club Beach Resort
518,Ahuimanu,US,75.78,light rain,21.4447,-157.8378,Paradise Bay Resort
521,Silvan,TR,71.89,clear sky,38.1419,41.0081,Silvan Grand Otel
522,Banda Aceh,ID,79.7,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
525,Fasa,IR,70.84,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
528,Broome,US,77.38,clear sky,42.2506,-75.833,Chenango Valley State Park
539,Kango,GA,77.32,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
540,Takoradi,GH,80.33,broken clouds,4.8845,-1.7554,Raybow International Hotel
542,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
548,Bubaque,GW,81.77,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
549,Imphal,IN,68.59,clear sky,24.8167,93.95,State Guest House
