City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
83,Srednekolymsk,RU,5/28/2022 23:46,67.45,153.6833,53.91,36,91,3.91
84,Narsaq,GL,5/28/2022 23:46,60.9167,-46.05,53.82,65,20,3.76
85,Portland,US,5/28/2022 23:45,45.5234,-122.6762,59.97,90,100,7
86,Mandera,KE,5/28/2022 23:46,3.9366,41.867,77.65,68,74,13.69
87,Hami,CN,5/28/2022 23:46,42.8,93.45,75.88,11,2,7.27
88,Quelimane,MZ,5/28/2022 23:46,-17.8786,36.8883,69.75,88,20,0
89,Cayenne,GF,5/28/2022 23:46,4.9333,-52.3333,82.09,6,40,5.99
90,Sao Joao Da Barra,BR,5/28/2022 23:46,-21.6403,-41.0511,72.63,84,100,11.59
91,Avarua,CK,5/28/2022 23:47,-21.2078,-159.775,80.65,74,40,9.22
92,Dikson,RU,5/28/2022 23:46,73.5069,80.5464,30.74,85,100,9.62
93,Kaitangata,NZ,5/28/2022 23:47,-46.2817,169.8464,50,69,100,2.26
94,Along,IN,5/28/2022 23:47,28.1667,94.7667,71.24,95,54,1.48
95,Pathein,MM,5/28/2022 23:47,16.7833,94.7333,80.35,87,71,4.45
96,Salinopolis,BR,5/28/2022 23:47,-0.6136,-47.3561,78.17,84,84,7.96
97,Chokurdakh,RU,5/28/2022 23:47,70.6333,147.9167,36.39,64,97,5.55
98,Eqbaliyeh,IR,5/28/2022 23:47,35.3022,51.5358,75.02,13,80,7.18
99,Katherine,AU,5/28/2022 23:47,-14.4667,132.2667,75.52,60,8,0
100,Cherskiy,RU,5/28/2022 23:47,68.75,161.3,43.7,46,14,6.87
101,Faya,SA,5/28/2022 23:47,18.3851,42.4509,64.92,42,13,0.94
102,Kyabram,AU,5/28/2022 23:47,-36.3167,145.05,49.87,66,84,3.44
103,Vrede,ZA,5/28/2022 23:47,-27.4257,29.1659,46.02,80,0,3.18
104,Huanren,CN,5/28/2022 23:47,41.2647,125.3667,67.44,62,84,9.86
105,Esperance,AU,5/28/2022 23:43,-33.8667,121.9,53.44,68,91,37.09
106,Saquena,PE,5/28/2022 23:47,-4.6667,-73.5167,73.02,99,84,2.15
107,Axim,GH,5/28/2022 23:47,4.8699,-2.2405,78.33,86,79,5.41
108,Saint George,US,5/28/2022 23:47,37.1041,-113.5841,91.63,13,0,16.11
