City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
46,Sortavala,RU,61.7053,30.6918,51.49,94,100,2.75,overcast clouds
47,Luganville,VU,-15.5333,167.1667,77.31,86,41,1.92,scattered clouds
48,Dikson,RU,73.5069,80.5464,24.53,96,47,4.76,scattered clouds
49,Atuona,PF,-9.8,-139.0333,78.17,75,22,18.63,few clouds
50,Taiyuan,CN,37.8694,112.5603,58.86,41,0,4.47,clear sky
51,Kalmunai,LK,7.4167,81.8167,80.8,74,96,10.89,overcast clouds
52,Butaritari,KI,3.0707,172.7902,81.79,68,100,15.19,overcast clouds
53,Mar Del Plata,AR,-38.0023,-57.5575,51.1,78,75,11.5,broken clouds
54,Mahebourg,MU,-20.4081,57.7,73.69,56,40,13.8,scattered clouds
55,Ponta Delgada,PT,37.7333,-25.6667,61.52,59,20,16.11,few clouds
56,Qaqortoq,GL,60.7167,-46.0333,39.24,81,69,7.09,broken clouds
57,Brumadinho,BR,-20.1433,-44.1997,80.02,37,0,5.59,clear sky
58,Ilulissat,GL,69.2167,-51.1,35.62,80,23,9.22,few clouds
59,Mulanur,IN,10.7667,77.7167,79.57,70,42,16.17,scattered clouds
60,Buala,SB,-8.145,159.5921,79.43,81,64,3.06,broken clouds
61,Tura,IN,25.5198,90.2201,73.02,86,0,3.8,clear sky
62,Barkly West,ZA,-28.5354,24.5215,51.62,54,0,11.45,clear sky
63,Okato,NZ,-39.2,173.8833,57.9,100,100,19.06,overcast clouds
64,Valparaiso,CL,-33.0393,-71.6273,57.43,63,0,10.36,clear sky
65,Umm Lajj,SA,25.0213,37.2685,83.88,49,0,5.77,clear sky
66,Muli,MV,2.9167,73.5667,83.68,73,80,12.95,moderate rain
67,Saint Pete Beach,US,27.7253,-82.7412,94.24,59,0,5.75,clear sky
68,Inhambane,MZ,-23.865,35.3833,71.58,83,0,9.22,clear sky
69,Nanortalik,GL,60.1432,-45.2371,40.57,80,80,10.49,broken clouds
70,Douglas,US,41.3,-96.167,85.93,51,0,23.02,clear sky
71,Maragogi,BR,-9.0122,-35.2225,79.72,82,62,9.24,light rain
72,Grindavik,IS,63.8424,-22.4338,54.07,82,40,9.22,fog
73,Barrow,US,71.2906,-156.7887,30.22,80,100,13.8,overcast clouds
74,Marzuq,YE,14.4,46.4667,80.55,39,91,7.27,overcast clouds
75,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,42,0,9.22,clear sky
76,Sale,MA,34.0389,-6.8166,72.64,70,21,13.15,few clouds
77,Cape Town,ZA,-33.9258,18.4232,57.61,68,40,6.91,scattered clouds
78,Lompoc,US,34.6391,-120.4579,79.02,69,5,21.99,clear sky
79,Bonfim,BR,3.0833,-59.95,86.56,58,63,5.48,broken clouds
80,Abha,SA,18.2164,42.5053,71.85,38,0,4.61,clear sky
81,Katsina,NG,12.9894,7.6006,98.26,13,52,9.13,broken clouds
82,Georgetown,MY,5.4112,100.3354,80.53,99,40,3.44,scattered clouds
83,Trussville,US,33.6198,-86.6089,87.3,49,20,11.5,few clouds
